Number,id_plot,province,latitude,longitude,altitude,aspect,MAT,MAP,Climate_change,slope,Forest_type,Forest_types,age,origin,origin_unsure,sucstage,area,Root_C_stock,lnRoot,Tree_C_stock,lnTree,Herb_layer_C_stock,lnHerb,Litter_layer_C_stock,lnLitter,Shrub_layer_C_stock,lnShrub,Woody_plant_C_stock,lnWoody,Total_aboveground_C_stock,lnabove,O_C_stock,lnOC,A_C_stock,lnAC,Total_soil_C_stock,lnTC,Total_belowground_C_stock,lnbelow,Total_forest_C_stock,lnTotalforest,AM_tree_C_stock,lnAM,EcM_tree_C_stock,lnEcM,C_stock_fraction_of_AM_tree,C_stock_fraction_of_EcM_tree,Ratio_of_AM_tree_C_to_EcM_tree_C,EcMrichness10,Amrichness10,species_richness10cm
410,HB45,HB,31.08951667,115.8098028,729,SW,13.8,1511,685.6468,20,Broadleaved_deciduous_forest,Broadleaved_forest,24,natural,natural,middle,1000,10.20457156,2.322835812,45.56289339,3.819093644,0.005916667,-5.129981995,0.33052852,-1.10706233,0.086765402,-2.444547331,45.73642419,3.822895009,35.53776929,3.570596055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.116002375,1.632373348,40.43000769,3.699572274,5.949882378,47.01987463,0.126539733,3,2,5
337,GZ101,GZ,28.34119444,107.9905556,1206,NE,13.3,1273,579.89805,8,Broadleaved_deciduous_forest,Broadleaved_forest,20,natural,natural,early,1000,6.336476875,1.846322916,55.81095935,4.021970254,0.061816667,-2.783582258,0.0202,-3.902072675,0.086796667,-2.444187057,55.98455268,4.025075808,49.70989247,3.906203957,26.32440001,3.270496266,27.12737688,3.300543435,53.45177689,3.978779881,59.78825377,4.090809216,109.4981462,4.695907619,NA,NA,55.81095935,4.021970254,0,100,0,1,0,1
713,SC87,SC,30.80339722,103.2593667,1502,SE,12.9,1068,488.85315,32,Mixed_broadleaved_forest,Broadleaved_forest,56,natural,natural,early,1000,10.00133312,2.302718396,56.924835,4.041731713,0.03467,-3.361880519,0.33223,-1.101927779,0.08692757,-2.442680036,57.09869014,4.044781177,47.13202702,3.852952749,28.98992289,3.366948283,23.03042303,3.136816082,52.02034591,3.95163491,62.02167904,4.127483986,109.1537061,4.692757037,35.33740925,3.564942155,21.58742576,3.072111004,62.07731519,37.92268481,1.636944101,7,8,10
315,GZ79,GZ,28.11903056,107.0538139,1390,NW,14.8,1139,522.7523,12,Broadleaved_deciduous_forest,Broadleaved_forest,60,natural,natural,middle,1000,17.85998267,2.882562605,138.4896451,4.930795558,0.3899,-0.941864983,0.300416667,-1.202584878,0.08715,-2.440124507,138.6639451,4.932053345,121.1938624,4.797391432,24.13633753,3.183718486,21.06303597,3.047519654,45.1993735,3.811083226,63.05935617,4.144076444,184.2532186,5.216311,NA,NA,138.4896451,4.930795558,0,100,0,1,0,1
750,SC124,SC,31.18845,100.8037028,3217,NE,7.3,637,291.04305,34,Mixed_broadleaved_coniferous_forest,Mixed_forest,22,natural,natural,early,1000,13.48768703,2.601777197,68.96927385,4.233661099,0.046268316,-3.073297872,0.17911336,-1.719736377,0.087156995,-2.440044246,69.14358784,4.236185326,55.70216913,4.020019089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.586021509,0.950120598,66.38325234,4.195444801,3.749526949,96.25047305,0.038955933,6,2,6
999,ZJ35,ZJ,28.60827222,119.2836139,241,SW,17.6,1563,713.7101,30,Evergreen_broadleaved_forest,Broadleaved_forest,89,natural,natural,late,1000,12.62699613,2.535837072,77.06897285,4.344700772,0.089132143,-2.417635258,0.383629584,-0.958077817,0.087590917,-2.435077974,77.24415468,4.346971245,64.7062907,4.169858426,17.79863252,2.87912163,9.603322765,2.26210916,27.40195528,3.310614371,40.02895141,3.689602978,104.7352421,4.651435662,37.757598,3.631186727,39.31137487,3.671513914,48.99195694,51.00804306,0.960475133,4,4,4
383,HB18,HB,31.09348889,112.8543,279,SW,15.2,1029,474.7247,39,Broadleaved_deciduous_forest,Broadleaved_forest,71,natural,natural,middle,600,7.589347402,2.026745606,71.80016145,4.273886725,0.056041667,-2.881659811,0.6564206,-0.420953537,0.088145417,-2.428767362,71.97645228,4.276339014,64.44314655,4.165783386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.742709938,-0.297449703,71.05745152,4.263488726,1.034412629,98.96558737,0.010452246,2,0,2
1137,ZJ182,ZJ,29.3136,119.2570167,153,NE,17,1522,694.8025,10,Mixed_broadleaved_forest,Broadleaved_forest,40,natural,natural,middle,600,12.0686036,2.490607337,92.69825875,4.529349689,0.09266,-2.378818399,0.233050537,-1.456499952,0.08960075,-2.412391589,92.87746025,4.531280993,80.90151665,4.393232571,28.47976416,3.349193806,23.76044677,3.168022298,52.24021093,3.955852523,64.30881453,4.163696706,145.2103312,4.978183251,43.69434343,3.777218653,49.00391532,3.891900199,47.13609945,52.86390055,0.891650048,5,5,6
730,SC104,SC,30.90005278,100.3352222,3542,NE,5.2,646,292.1952,31,Mixed_broadleaved_coniferous_forest,Mixed_forest,168,natural,natural,late,600,8.731156765,2.166897866,87.58535275,4.472613778,0.095589619,-2.347691053,0.259503914,-1.348983494,0.090537969,-2.401985969,87.76642869,4.474679066,79.13086154,4.371102957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.070413035,1.403744477,83.51493973,4.425025535,4.647367289,95.35263271,0.048738741,5,2,5
462,HB97,HB,31.08386111,110.927,1659,SW,9.5,1306,589.36225,42,Broadleaved_deciduous_forest,Broadleaved_forest,103,natural,natural,late,1000,30.5622122,3.41976435,120.8570983,4.794608842,0.003173,-5.753077766,0.190805197,-1.656502282,0.091071796,-2.396107117,121.0392418,4.796114805,90.48020264,4.505131071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.87235766,2.629898203,102.9544438,4.634286597,11.47831436,85.18692343,0.13474268,11,5,16
